24_Hour_Peak;All_time_peak;average_forever;average_2weeks;median_forever;median_2weeks;price;initialprice;num_lang;required_age;controller_support;dlc;metacritic_tf;platforms_num;achievements;days_after_release;months_after_release
;;;;;;;;;;;;;;;;
0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;38.0;0.0;0.0;0.0;0.0;1.0;0.0;947.0;31.0
0.0;109.0;49.0;0.0;73.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1900.0;63.0
0.0;0.0;0.0;0.0;0.0;0.0;2.99;2.99;1.0;0.0;0.0;0.0;0.0;1.0;0.0;947.0;31.0
0.0;0.0;0.0;0.0;0.0;0.0;5.99;6.99;2.0;0.0;0.0;0.0;0.0;1.0;14.0;954.0;31.0
0.0;0.0;0.0;0.0;0.0;0.0;3.99;4.99;1.0;0.0;0.0;0.0;0.0;1.0;0.0;973.0;32.0
2.0;150.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1052.0;35.0
;;;;;;;;;;;;;;;;
0.0;1.0;0.0;0.0;0.0;0.0;6.99;7.99;3.0;0.0;0.0;0.0;0.0;1.0;13.0;931.0;31.0
0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;1.0;0.0;0.0;0.0;0.0;1.0;0.0;931.0;31.0
0.0;109.0;49.0;0.0;72.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1841.0;61.0
0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;3.0;0.0;0.0;0.0;0.0;1.0;0.0;947.0;31.0
2.5;66.0;333.0;0.0;345.0;0.0;14.995;14.995;1.0;0.0;0.0;4.5;0.0;1.0;0.0;1708.0;56.5
0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;8.0;0.0;0.0;0.0;0.0;1.0;0.0;1624.0;54.0
0.0;0.0;0.0;0.0;0.0;0.0;3.99;3.99;2.0;0.0;0.0;0.0;0.0;1.0;11.0;937.0;31.0
0.0;0.0;0.0;0.0;0.0;0.0;2.99;2.99;1.0;0.0;0.0;0.0;0.0;1.0;0.0;941.0;31.0
0.0;109.0;49.0;0.0;72.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;1.0;0.0;1841.0;61.0
0.0;0.0;0.0;0.0;0.0;0.0;1.495;1.495;1.5;0.0;0.0;0.0;0.0;1.0;0.0;1327.5;44.0
;;;;;;;;;;;;;;;;
0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;38.0;0.0;0.0;0.0;0.0;1.0;0.0;947.0;31.0
0.0;4.0;0.0;0.0;0.0;0.0;9.99;9.99;1.0;0.0;0.0;0.0;0.0;1.0;0.0;782.0;26.0
0.0;0.0;0.0;0.0;0.0;0.0;5.99;5.99;1.0;0.0;0.0;0.0;0.0;1.0;0.0;929.5;30.5
0.0;23.0;49.0;0.0;72.0;0.0;0.99;0.99;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1815.0;60.0
0.0;0.0;0.0;0.0;0.0;0.0;5.99;5.99;2.0;0.0;0.0;0.0;0.0;1.0;0.0;1158.0;38.0
;;;;;;;;;;;;;;;;
0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;38.0;0.0;0.0;0.0;0.0;1.0;0.0;947.0;31.0
0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1183.0;39.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1221.0;40.0
0.0;0.0;0.0;0.0;0.0;0.0;5.99;5.99;6.0;0.0;0.0;0.0;0.0;1.0;0.0;453.0;15.0
0.0;0.0;0.0;0.0;0.0;0.0;5.49;5.49;2.5;0.0;0.0;0.0;0.0;1.0;0.0;961.5;31.5
0.0;29.0;10.5;0.0;10.5;0.0;2.99;2.99;1.0;0.0;0.0;0.0;0.0;1.0;2.0;1886.5;62.5
0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1863.0;62.0
0.0;109.0;49.0;0.0;72.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;1.0;0.0;1841.0;61.0
0.0;0.0;0.0;0.0;0.0;0.0;1.495;1.495;1.5;0.0;0.0;0.0;0.0;1.0;0.0;1327.5;44.0
0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;2.0;0.0;0.0;0.0;0.0;1.0;12.0;961.0;32.0
0.0;0.0;0.0;0.0;0.0;0.0;3.99;3.99;1.0;0.0;0.0;0.0;0.0;1.0;0.0;987.0;32.0
0.0;37.0;0.0;0.0;0.0;0.0;0.99;0.99;4.0;0.0;0.0;0.0;0.0;1.0;0.0;1050.0;35.0
0.0;0.0;0.0;0.0;0.0;0.0;0.99;0.99;2.0;0.0;0.0;0.0;0.0;1.0;0.0;1127.0;37.0
0.0;109.0;49.0;0.0;72.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1841.0;61.0
0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;3.0;0.0;0.0;0.0;0.0;1.0;0.0;947.0;31.0
;;;;;;;;;;;;;;;;
0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;38.0;0.0;0.0;0.0;0.0;1.0;0.0;947.0;31.0
0.0;87.0;87.0;0.0;87.0;0.0;1.99;1.99;1.0;0.0;0.0;0.0;0.0;2.0;0.0;1764.0;58.0
0.0;0.5;0.0;0.0;0.0;0.0;2.99;2.99;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1849.5;61.0
0.0;109.0;49.0;0.0;73.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1900.0;63.0
0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;38.0;0.0;0.0;0.0;0.0;1.0;0.0;947.0;31.0
0.0;0.0;0.0;0.0;0.0;0.0;4.99;7.99;2.0;0.0;0.0;0.0;0.0;1.0;10.0;907.0;30.0
0.0;0.0;0.0;0.0;0.0;0.0;3.99;3.99;1.0;0.0;0.0;0.0;0.0;1.0;0.0;940.5;31.0
0.0;10.0;0.0;0.0;0.0;0.0;7.99;8.99;3.0;0.0;0.0;0.0;0.0;1.0;15.0;924.0;30.0
0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;2.0;0.0;0.0;0.0;0.0;1.0;0.0;935.0;31.0
0.0;11.0;0.0;0.0;0.0;0.0;4.99;4.99;2.0;0.0;0.0;0.0;0.0;1.0;0.0;1765.0;58.0
0.0;0.0;0.0;0.0;0.0;0.0;2.99;2.99;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1809.0;60.0
;;;;;;;;;;;;;;;;
0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;38.0;0.0;0.0;0.0;0.0;1.0;0.0;947.0;31.0
0.0;7.0;0.0;0.0;0.0;0.0;7.99;9.99;3.0;0.0;0.0;0.0;0.0;1.0;10.0;899.0;29.0
0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;1.0;0.0;0.0;0.0;0.0;1.0;0.0;967.0;32.0
119.0;740.0;62.5;0.0;72.5;0.0;0.0;0.0;7.5;0.0;0.0;0.0;0.0;1.5;0.0;1870.5;62.0
0.0;0.0;0.0;0.0;0.0;0.0;9.99;9.99;4.5;0.0;0.0;0.0;0.0;1.0;0.0;1152.5;38.0
0.0;3.0;0.0;0.0;0.0;0.0;4.99;8.99;2.0;0.0;0.0;0.0;0.0;1.0;9.0;944.0;31.0
0.0;0.0;0.0;0.0;0.0;0.0;4.54;4.99;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1044.0;34.0
0.0;8.0;0.0;0.0;0.0;0.0;6.99;7.99;4.0;0.0;0.0;0.0;0.0;1.0;14.0;924.0;30.0
0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;1.0;0.0;0.0;0.0;0.0;1.0;0.0;968.0;32.0
;;;;;;;;;;;;;;;;
0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;38.0;0.0;0.0;0.0;0.0;1.0;0.0;947.0;31.0
5.0;83.0;49.0;0.0;72.0;0.0;3.99;3.99;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1516.0;50.0
0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;5.0;0.0;0.0;0.0;0.0;1.0;0.0;1624.0;54.0
0.0;54.5;24.5;0.0;36.5;0.0;0.495;0.495;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1857.5;61.5
0.0;0.0;0.0;0.0;0.0;0.0;8.49;8.49;20.5;0.0;0.0;0.0;0.0;1.0;0.0;905.5;29.5
0.0;5.0;0.0;0.0;0.0;0.0;4.99;4.99;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1851.0;61.0
0.0;0.0;0.0;0.0;0.0;0.0;4.99;5.99;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1856.0;61.0
0.0;109.0;49.0;0.0;72.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;1.0;0.0;1841.0;61.0
0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;38.0;0.0;0.0;0.0;0.0;1.0;0.0;947.0;31.0
